Date,#,Club,League,Value,Value_2,%
2024-10-01,1,Bayern Munich,Bundesliga,944700000,859000000,-9.1
2024-10-01,2,Bayer 04 Leverkusen,Bundesliga,627250000,644050000,2.7
2024-10-01,3,RB Leipzig,Bundesliga,513900000,510750000,-0.6
2024-10-01,4,Borussia Dortmund,Bundesliga,461900000,436400000,-5.5
2024-10-01,5,VfB Stuttgart,Bundesliga,285580000,330230000,15.6
2024-10-01,6,Eintracht Frankfurt,Bundesliga,248300000,323050000,30.1
2024-10-01,7,VfL Wolfsburg,Bundesliga,211450000,252000000,19.2
2024-10-01,8,TSG 1899 Hoffenheim,Bundesliga,156150000,172750000,10.6
2024-10-01,9,SC Freiburg,Bundesliga,166000000,165850000,-0.1
2024-10-01,10,1.FSV Mainz 05,Bundesliga,89850000,152600000,69.8
2024-10-01,11,Borussia Mönchengladbach,Bundesliga,139450000,147400000,5.7
2024-10-01,12,SV Werder Bremen,Bundesliga,112850000,126150000,11.8
2024-10-01,13,FC Augsburg,Bundesliga,102230000,119130000,16.5
2024-10-01,14,1.FC Union Berlin,Bundesliga,124680000,113180000,-9.2
2024-10-01,15,1.FC Heidenheim 1846,Bundesliga,50150000,66780000,33.2
2024-10-01,16,FC St. Pauli,Bundesliga,37780000,61030000,61.5
2024-10-01,17,VfL Bochum,Bundesliga,59280000,59450000,0.3
2024-10-01,18,Holstein Kiel,Bundesliga,32299999,46630000,44.3
2024-10-15,1,Bayern Munich,Bundesliga,939700000,859000000,-8.6
2024-10-15,2,Bayer 04 Leverkusen,Bundesliga,634250000,644050000,1.5
2024-10-15,3,RB Leipzig,Bundesliga,517900000,510750000,-1.4
2024-10-15,4,Borussia Dortmund,Bundesliga,474900000,436400000,-8.1
2024-10-15,5,VfB Stuttgart,Bundesliga,313730000,330230000,5.3
2024-10-15,6,Eintracht Frankfurt,Bundesliga,280100000,323050000,15.3
2024-10-15,7,VfL Wolfsburg,Bundesliga,215000000,252000000,17.2
2024-10-15,8,TSG 1899 Hoffenheim,Bundesliga,166150000,172750000,4.0
2024-10-15,9,SC Freiburg,Bundesliga,169050000,165850000,-1.9
2024-10-15,10,1.FSV Mainz 05,Bundesliga,93450000,152600000,63.3
2024-10-15,11,Borussia Mönchengladbach,Bundesliga,139700000,147400000,5.5
2024-10-15,12,SV Werder Bremen,Bundesliga,119350000,126150000,5.7
2024-10-15,13,FC Augsburg,Bundesliga,99330000,119130000,19.9
2024-10-15,14,1.FC Union Berlin,Bundesliga,122180000,113180000,-7.4
2024-10-15,15,1.FC Heidenheim 1846,Bundesliga,63300000,66780000,5.5
2024-10-15,16,FC St. Pauli,Bundesliga,40430000,61030000,51.0
2024-10-15,17,VfL Bochum,Bundesliga,60750000,59450000,-2.1
2024-10-15,18,Holstein Kiel,Bundesliga,36300000,46630000,28.4
2024-11-01,1,Bayern Munich,Bundesliga,939700000,859000000,-8.6
2024-11-01,2,Bayer 04 Leverkusen,Bundesliga,634250000,644050000,1.5
2024-11-01,3,RB Leipzig,Bundesliga,517900000,510750000,-1.4
2024-11-01,4,Borussia Dortmund,Bundesliga,474900000,436400000,-8.1
2024-11-01,5,VfB Stuttgart,Bundesliga,313730000,330230000,5.3
2024-11-01,6,Eintracht Frankfurt,Bundesliga,280100000,323050000,15.3
2024-11-01,7,VfL Wolfsburg,Bundesliga,215000000,252000000,17.2
2024-11-01,8,TSG 1899 Hoffenheim,Bundesliga,166150000,172750000,4.0
2024-11-01,9,SC Freiburg,Bundesliga,169050000,165850000,-1.9
2024-11-01,10,1.FSV Mainz 05,Bundesliga,93450000,152600000,63.3
2024-11-01,11,Borussia Mönchengladbach,Bundesliga,139700000,147400000,5.5
2024-11-01,12,SV Werder Bremen,Bundesliga,119350000,126150000,5.7
2024-11-01,13,FC Augsburg,Bundesliga,99330000,119130000,19.9
2024-11-01,14,1.FC Union Berlin,Bundesliga,122180000,113180000,-7.4
2024-11-01,15,1.FC Heidenheim 1846,Bundesliga,63300000,66780000,5.5
2024-11-01,16,FC St. Pauli,Bundesliga,40730000,61030000,49.8
2024-11-01,17,VfL Bochum,Bundesliga,60750000,59450000,-2.1
2024-11-01,18,Holstein Kiel,Bundesliga,36300000,46630000,28.4
2024-11-15,1,Bayern Munich,Bundesliga,939700000,859000000,-8.6
2024-11-15,2,Bayer 04 Leverkusen,Bundesliga,634250000,644050000,1.5
2024-11-15,3,RB Leipzig,Bundesliga,517900000,510750000,-1.4
2024-11-15,4,Borussia Dortmund,Bundesliga,474900000,436400000,-8.1
2024-11-15,5,VfB Stuttgart,Bundesliga,313730000,330230000,5.3
2024-11-15,6,Eintracht Frankfurt,Bundesliga,279700000,323050000,15.5
2024-11-15,7,VfL Wolfsburg,Bundesliga,215000000,252000000,17.2
2024-11-15,8,TSG 1899 Hoffenheim,Bundesliga,166150000,172750000,4.0
2024-11-15,9,SC Freiburg,Bundesliga,169050000,165850000,-1.9
2024-11-15,10,1.FSV Mainz 05,Bundesliga,93450000,152600000,63.3
2024-11-15,11,Borussia Mönchengladbach,Bundesliga,139700000,147400000,5.5
2024-11-15,12,SV Werder Bremen,Bundesliga,119350000,126150000,5.7
2024-11-15,13,FC Augsburg,Bundesliga,99330000,119130000,19.9
2024-11-15,14,1.FC Union Berlin,Bundesliga,122180000,113180000,-7.4
2024-11-15,15,1.FC Heidenheim 1846,Bundesliga,63300000,66780000,5.5
2024-11-15,16,FC St. Pauli,Bundesliga,40730000,61030000,49.8
2024-11-15,17,VfL Bochum,Bundesliga,60750000,59450000,-2.1
2024-11-15,18,Holstein Kiel,Bundesliga,36300000,46630000,28.4
2024-12-01,1,Bayern Munich,Bundesliga,936700000,859000000,-8.3
2024-12-01,2,Bayer 04 Leverkusen,Bundesliga,635100000,644050000,1.4
2024-12-01,3,RB Leipzig,Bundesliga,517900000,510750000,-1.4
2024-12-01,4,Borussia Dortmund,Bundesliga,474900000,436400000,-8.1
2024-12-01,5,VfB Stuttgart,Bundesliga,313730000,330230000,5.3
2024-12-01,6,Eintracht Frankfurt,Bundesliga,279700000,323050000,15.5
2024-12-01,7,VfL Wolfsburg,Bundesliga,215000000,252000000,17.2
2024-12-01,8,TSG 1899 Hoffenheim,Bundesliga,166150000,172750000,4.0
2024-12-01,9,SC Freiburg,Bundesliga,169050000,165850000,-1.9
2024-12-01,10,1.FSV Mainz 05,Bundesliga,93450000,152600000,63.3
2024-12-01,11,Borussia Mönchengladbach,Bundesliga,139700000,147400000,5.5
2024-12-01,12,SV Werder Bremen,Bundesliga,119350000,126150000,5.7
2024-12-01,13,FC Augsburg,Bundesliga,99330000,119130000,19.9
2024-12-01,14,1.FC Union Berlin,Bundesliga,122180000,113180000,-7.4
2024-12-01,15,1.FC Heidenheim 1846,Bundesliga,63300000,66780000,5.5
2024-12-01,16,FC St. Pauli,Bundesliga,40730000,61030000,49.8
2024-12-01,17,VfL Bochum,Bundesliga,60750000,59450000,-2.1
2024-12-01,18,Holstein Kiel,Bundesliga,36300000,46630000,28.4
2024-12-15,1,Bayern Munich,Bundesliga,936700000,859000000,-8.3
2024-12-15,2,Bayer 04 Leverkusen,Bundesliga,635100000,644050000,1.4
2024-12-15,3,RB Leipzig,Bundesliga,518250000,510750000,-1.4
2024-12-15,4,Borussia Dortmund,Bundesliga,474900000,436400000,-8.1
2024-12-15,5,VfB Stuttgart,Bundesliga,314430000,330230000,5.0
2024-12-15,6,Eintracht Frankfurt,Bundesliga,279700000,323050000,15.5
2024-12-15,7,VfL Wolfsburg,Bundesliga,215000000,252000000,17.2
2024-12-15,8,TSG 1899 Hoffenheim,Bundesliga,166150000,172750000,4.0
2024-12-15,9,SC Freiburg,Bundesliga,169050000,165850000,-1.9
2024-12-15,10,1.FSV Mainz 05,Bundesliga,93450000,152600000,63.3
2024-12-15,11,Borussia Mönchengladbach,Bundesliga,139700000,147400000,5.5
2024-12-15,12,SV Werder Bremen,Bundesliga,119350000,126150000,5.7
2024-12-15,13,FC Augsburg,Bundesliga,99330000,119130000,19.9
2024-12-15,14,1.FC Union Berlin,Bundesliga,122180000,113180000,-7.4
2024-12-15,15,1.FC Heidenheim 1846,Bundesliga,63300000,66780000,5.5
2024-12-15,16,FC St. Pauli,Bundesliga,40730000,61030000,49.8
2024-12-15,17,VfL Bochum,Bundesliga,60750000,59450000,-2.1
2024-12-15,18,Holstein Kiel,Bundesliga,36300000,46630000,28.4
2025-01-01,1,Bayern Munich,Bundesliga,887000000,859000000,-3.2
2025-01-01,2,Bayer 04 Leverkusen,Bundesliga,609600000,644050000,5.7
2025-01-01,3,RB Leipzig,Bundesliga,525250000,510750000,-2.8
2025-01-01,4,Borussia Dortmund,Bundesliga,473100000,436400000,-7.8
2025-01-01,5,VfB Stuttgart,Bundesliga,329130000,330230000,0.3
2025-01-01,6,Eintracht Frankfurt,Bundesliga,320550000,323050000,0.8
2025-01-01,7,VfL Wolfsburg,Bundesliga,219300000,252000000,14.9
2025-01-01,8,TSG 1899 Hoffenheim,Bundesliga,151050000,172750000,14.4
2025-01-01,9,SC Freiburg,Bundesliga,158350000,165850000,4.7
2025-01-01,10,1.FSV Mainz 05,Bundesliga,103950000,152600000,46.8
2025-01-01,11,Borussia Mönchengladbach,Bundesliga,140800000,147400000,4.7
2025-01-01,12,SV Werder Bremen,Bundesliga,125350000,126150000,0.6
2025-01-01,13,FC Augsburg,Bundesliga,95980000,119130000,24.1
2025-01-01,14,1.FC Union Berlin,Bundesliga,121080000,113180000,-6.5
2025-01-01,15,1.FC Heidenheim 1846,Bundesliga,69480000,66780000,-3.9
2025-01-01,16,FC St. Pauli,Bundesliga,46180000,61030000,32.2
2025-01-01,17,VfL Bochum,Bundesliga,52200000,59450000,13.9
2025-01-01,18,Holstein Kiel,Bundesliga,37300000,46630000,25.0
2025-01-15,1,Bayern Munich,Bundesliga,883000000,859000000,-2.7
2025-01-15,2,Bayer 04 Leverkusen,Bundesliga,609050000,644050000,5.7
2025-01-15,3,RB Leipzig,Bundesliga,532250000,510750000,-4.0
2025-01-15,4,Borussia Dortmund,Bundesliga,445700000,436400000,-2.1
2025-01-15,5,VfB Stuttgart,Bundesliga,334230000,330230000,-1.2
2025-01-15,6,Eintracht Frankfurt,Bundesliga,320550000,323050000,0.8
2025-01-15,7,VfL Wolfsburg,Bundesliga,208300000,252000000,21.0
2025-01-15,8,TSG 1899 Hoffenheim,Bundesliga,152050000,172750000,13.6
2025-01-15,9,SC Freiburg,Bundesliga,153350000,165850000,8.2
2025-01-15,10,1.FSV Mainz 05,Bundesliga,103100000,152600000,48.0
2025-01-15,11,Borussia Mönchengladbach,Bundesliga,140200000,147400000,5.1
2025-01-15,12,SV Werder Bremen,Bundesliga,127350000,126150000,-0.9
2025-01-15,13,FC Augsburg,Bundesliga,92980000,119130000,28.1
2025-01-15,14,1.FC Union Berlin,Bundesliga,121080000,113180000,-6.5
2025-01-15,15,1.FC Heidenheim 1846,Bundesliga,72780000,66780000,-8.2
2025-01-15,16,FC St. Pauli,Bundesliga,52880000,61030000,15.4
2025-01-15,17,VfL Bochum,Bundesliga,49750000,59450000,19.5
2025-01-15,18,Holstein Kiel,Bundesliga,35600000,46630000,31.0
2025-02-01,1,Bayern Munich,Bundesliga,886000000,859000000,-3.0
2025-02-01,2,Bayer 04 Leverkusen,Bundesliga,637050000,644050000,1.1
2025-02-01,3,RB Leipzig,Bundesliga,520250000,510750000,-1.8
2025-02-01,4,Borussia Dortmund,Bundesliga,452700000,436400000,-3.6
2025-02-01,5,VfB Stuttgart,Bundesliga,334230000,330230000,-1.2
2025-02-01,6,Eintracht Frankfurt,Bundesliga,281050000,323050000,14.9
2025-02-01,7,VfL Wolfsburg,Bundesliga,229300000,252000000,9.9
2025-02-01,8,TSG 1899 Hoffenheim,Bundesliga,145300000,172750000,18.9
2025-02-01,9,SC Freiburg,Bundesliga,167350000,165850000,-0.9
2025-02-01,10,1.FSV Mainz 05,Bundesliga,116100000,152600000,31.4
2025-02-01,11,Borussia Mönchengladbach,Bundesliga,139400000,147400000,5.7
2025-02-01,12,SV Werder Bremen,Bundesliga,126350000,126150000,-0.2
2025-02-01,13,FC Augsburg,Bundesliga,96080000,119130000,24.0
2025-02-01,14,1.FC Union Berlin,Bundesliga,120880000,113180000,-6.4
2025-02-01,15,1.FC Heidenheim 1846,Bundesliga,65180000,66780000,2.5
2025-02-01,16,FC St. Pauli,Bundesliga,54180000,61030000,12.6
2025-02-01,17,VfL Bochum,Bundesliga,52850000,59450000,12.5
2025-02-01,18,Holstein Kiel,Bundesliga,40050000,46630000,16.4
2025-02-15,1,Bayern Munich,Bundesliga,856000000,859000000,0.4
2025-02-15,2,Bayer 04 Leverkusen,Bundesliga,637050000,644050000,1.1
2025-02-15,3,RB Leipzig,Bundesliga,526750000,510750000,-3.0
2025-02-15,4,Borussia Dortmund,Bundesliga,473200000,436400000,-7.8
2025-02-15,5,VfB Stuttgart,Bundesliga,333730000,330230000,-1.0
2025-02-15,6,Eintracht Frankfurt,Bundesliga,288050000,323050000,12.2
2025-02-15,7,VfL Wolfsburg,Bundesliga,229300000,252000000,9.9
2025-02-15,8,TSG 1899 Hoffenheim,Bundesliga,158050000,172750000,9.3
2025-02-15,9,SC Freiburg,Bundesliga,167350000,165850000,-0.9
2025-02-15,10,1.FSV Mainz 05,Bundesliga,112400000,152600000,35.8
2025-02-15,11,Borussia Mönchengladbach,Bundesliga,139400000,147400000,5.7
2025-02-15,12,SV Werder Bremen,Bundesliga,131350000,126150000,-4.0
2025-02-15,13,FC Augsburg,Bundesliga,93080000,119130000,28.0
2025-02-15,14,1.FC Union Berlin,Bundesliga,115880000,113180000,-2.3
2025-02-15,15,1.FC Heidenheim 1846,Bundesliga,65180000,66780000,2.5
2025-02-15,16,FC St. Pauli,Bundesliga,54180000,61030000,12.6
2025-02-15,17,VfL Bochum,Bundesliga,54850000,59450000,8.4
2025-02-15,18,Holstein Kiel,Bundesliga,40050000,46630000,16.4
2025-03-01,1,Bayern Munich,Bundesliga,856000000,859000000,0.4
2025-03-01,2,Bayer 04 Leverkusen,Bundesliga,637050000,644050000,1.1
2025-03-01,3,RB Leipzig,Bundesliga,526750000,510750000,-3.0
2025-03-01,4,Borussia Dortmund,Bundesliga,473200000,436400000,-7.8
2025-03-01,5,VfB Stuttgart,Bundesliga,333730000,330230000,-1.0
2025-03-01,6,Eintracht Frankfurt,Bundesliga,288050000,323050000,12.2
2025-03-01,7,VfL Wolfsburg,Bundesliga,229300000,252000000,9.9
2025-03-01,8,TSG 1899 Hoffenheim,Bundesliga,158050000,172750000,9.3
2025-03-01,9,SC Freiburg,Bundesliga,167350000,165850000,-0.9
2025-03-01,10,1.FSV Mainz 05,Bundesliga,112400000,152600000,35.8
2025-03-01,11,Borussia Mönchengladbach,Bundesliga,139400000,147400000,5.7
2025-03-01,12,SV Werder Bremen,Bundesliga,131350000,126150000,-4.0
2025-03-01,13,FC Augsburg,Bundesliga,93080000,119130000,28.0
2025-03-01,14,1.FC Union Berlin,Bundesliga,115880000,113180000,-2.3
2025-03-01,15,1.FC Heidenheim 1846,Bundesliga,65180000,66780000,2.5
2025-03-01,16,FC St. Pauli,Bundesliga,54180000,61030000,12.6
2025-03-01,17,VfL Bochum,Bundesliga,54850000,59450000,8.4
2025-03-01,18,Holstein Kiel,Bundesliga,40050000,46630000,16.4
2025-03-15,1,Bayern Munich,Bundesliga,856000000,859000000,0.4
2025-03-15,2,Bayer 04 Leverkusen,Bundesliga,637050000,644050000,1.1
2025-03-15,3,RB Leipzig,Bundesliga,526750000,510750000,-3.0
